岗位,企业名称,企业规模,企业类别,企业主页,工作地点,薪酬,学历要求,工作经验,岗位招聘主页
python工程师,深圳市博奥特科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ298487210.htm,深圳-罗湖区,15K-20K,本科,3-5年,https://jobs.zhaopin.com/CC298487217J00237350002.htm
急聘:Python开发助理/包住/项目奖金,深圳市宇达计算机有限公司,100-499人,外商独资,https://company.zhaopin.com/CZ644104880.htm,深圳,3.5K-7K,学历不限,不限,https://jobs.zhaopin.com/CC644104880J00368828601.htm
高级后端研发工程师(node/python),深圳市中联创新自控系统有限公司,100-499人,民营,https://company.zhaopin.com/CZ157447310.htm,深圳-龙岗区,18K-30K,本科,3-5年,https://jobs.zhaopin.com/CC157447311J00258918704.htm
Python开发,深圳市德科信息技术有限公司,1000-9999人,股份制企业,https://company.zhaopin.com/CZ589380620.htm,深圳-福田区,10K-15K,本科,3-5年,https://jobs.zhaopin.com/CC589380625J00315155807.htm
Python后端开发,深圳市金鑫云端科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ816720960.htm,深圳,15K-20K,大专,3-5年,https://jobs.zhaopin.com/CC816720960J00396160401.htm
STEAM教育/Python编程老师,深圳格趣创新科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ609854230.htm,深圳,7K-10K,大专,无经验,https://jobs.zhaopin.com/CC609854230J00326990907.htm
急招Python开发助理/实习生,深圳市十七大道科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ644079680.htm,深圳-南山区,3K-5K,大专,无经验,https://jobs.zhaopin.com/CC644079685J00215102201.htm
python,深圳市乐易网络股份有限公司,100-499人,民营,https://company.zhaopin.com/CZ495056820.htm,深圳,15K-25K,本科,3-5年,https://jobs.zhaopin.com/CC495056821J00261237003.htm
python,深圳德科共赢创投合伙企业(有限合伙),不限,民营,https://company.zhaopin.com/CZ868439670.htm,深圳-南山区,10K-15K,大专,3-5年,https://jobs.zhaopin.com/CC868439670J00255308908.htm
python工程师,叠云(北京)科技股份有限公司,20-99人,上市公司,https://company.zhaopin.com/CZ394261830.htm,深圳,10K-15K,本科,3-5年,https://jobs.zhaopin.com/CC394261836J00117878715.htm
python开发工程师,深圳市乐易网络股份有限公司,100-499人,民营,https://company.zhaopin.com/CZ495056820.htm,深圳,10K-20K,本科,1-3年,https://jobs.zhaopin.com/CC495056821J00261241003.htm
python开发工程师,深圳市芒柠科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ466965980.htm,深圳,10K-15K,大专,1-3年,https://jobs.zhaopin.com/CC466965980J00235518307.htm
python,深圳国开创新科技有限公司,500-999人,民营,https://company.zhaopin.com/CZ690553130.htm,深圳-南山区,9K-15K,大专,3-5年,https://jobs.zhaopin.com/CC690553137J00209624102.htm
python后台开发工程师,深圳市悦动天下科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ644924620.htm,深圳,15K-30K,本科,3-5年,https://jobs.zhaopin.com/644924620250125.htm
python工程师,深圳市纽尔科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ571842520.htm,深圳-罗湖区,15K-30K,本科,3-5年,https://jobs.zhaopin.com/CC571842520J00304504205.htm
Python开发工程师,深圳市欧恩德技术有限公司,100-499人,民营,https://company.zhaopin.com/CZ672784720.htm,深圳-南山区,8K-10K,大专,1-3年,https://jobs.zhaopin.com/CC672784724J00396219401.htm
Python开发工程师（深圳）,深圳市前海谷雨网络科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ544024680.htm,深圳-南山区,8K-15K,大专,1-3年,https://jobs.zhaopin.com/544024686250018.htm
python高级开发工程师,华南城集团有限公司,1000-9999人,外商独资,https://company.zhaopin.com/CZ502416520.htm,深圳-龙岗区,15K-25K,本科,5-10年,https://jobs.zhaopin.com/CC502416523J00382948305.htm
Python开发（后海),深圳市德科信息技术有限公司,1000-9999人,股份制企业,https://company.zhaopin.com/CZ589380620.htm,深圳,10K-15K,大专,3-5年,https://jobs.zhaopin.com/CC589380625J00318725207.htm
Python开发工程师（深圳）,深圳市八斗才数据有限公司,20-99人,民营,https://company.zhaopin.com/CZ562550030.htm,深圳-南山区,10K-15K,大专,1-3年,https://jobs.zhaopin.com/562550032250031.htm
python开发工程师（深圳）,深圳市源极光科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ562114530.htm,深圳-南山区,10K-15K,大专,1-3年,https://jobs.zhaopin.com/562114535250038.htm
高级Python软件工程师,August Robotics Limited,20人以下,外商独资,https://company.zhaopin.com/CZ716976740.htm,深圳,30K-50K,本科,3-5年,https://jobs.zhaopin.com/CZ716976740J00350193203.htm
python,深圳德科共赢创投合伙企业(有限合伙),不限,民营,https://company.zhaopin.com/CZ868439670.htm,深圳-南山区,10K-15K,大专,3-5年,https://jobs.zhaopin.com/CC868439670J00257258908.htm
python开发工程师,赞同科技股份有限公司,1000-9999人,民营,https://company.zhaopin.com/CZ539946580.htm,深圳-福田区,6K-12K,本科,不限,https://jobs.zhaopin.com/CC539946581J00290691103.htm
软件开发工程师（Python),德硕管理咨询(深圳)有限公司,20-99人,外商独资,https://company.zhaopin.com/CZ154580510.htm,深圳-福田区,8K-15K,大专,1-3年,https://jobs.zhaopin.com/CC154580515J00240303004.htm
Python数据挖掘,深圳前海招文天下金融服务有限公司,不限,民营,https://company.zhaopin.com/CZ815392880.htm,深圳-南山区,11K-18K,本科,3-5年,https://jobs.zhaopin.com/CC815392880J00406708501.htm
高级Python后端工程师,深圳德聚企业管理咨询有限公司,100-499人,民营,https://company.zhaopin.com/CZ413479080.htm,深圳-南山区,20K-40K,本科,3-5年,https://jobs.zhaopin.com/413479081250105.htm
Python开发工程师,深圳市芒柠科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ466965980.htm,深圳-宝安区,10K-15K,大专,1-3年,https://jobs.zhaopin.com/466965980250155.htm
Python工程师,深圳市凹凸微科科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ238749130.htm,深圳,15K-20K,本科,1-3年,https://jobs.zhaopin.com/CC238749137J00417101501.htm
Python软件开发（应届生）,德硕管理咨询(深圳)有限公司,20-99人,外商独资,https://company.zhaopin.com/CZ154580510.htm,深圳-福田区,6K-8K,本科,无经验,https://jobs.zhaopin.com/CC154580515J00254012304.htm
python开发工程师,深圳市大富科技股份有限公司,1000-9999人,上市公司,https://company.zhaopin.com/CZ133833090.htm,深圳-福田区,10K-15K,本科,1-3年,https://jobs.zhaopin.com/CC133833090J00215320006.htm
日语Java/Python开发工程师,Uniqsys优尼卡日本株式会社,20-99人,外商独资,https://company.zhaopin.com/CZ842910190.htm,深圳,15K-30K,本科,不限,https://jobs.zhaopin.com/CC842910190J00176413904.htm
python开发工程师,广州市欢雀科技有限公司,100-499人,民营,http://special.zhaopin.com/pagepublish/41297738/index.html,深圳-南山区,12K-16K,本科,3-5年,https://jobs.zhaopin.com/CC412977388J00340584403.htm
Python开发工程师,深圳市掌世界网络科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ253935310.htm,深圳-罗湖区,8K-15K,本科,3-5年,https://jobs.zhaopin.com/253935313250030.htm
Python后端开发工程师,北京国双科技有限公司,1000-9999人,上市公司,https://company.zhaopin.com/CZ147278820.htm,深圳-福田区,10K-20K,本科,1-3年,https://jobs.zhaopin.com/CC147278824J00166336110.htm
python工程师（区块链）,北京天盛京享科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ839864870.htm,深圳,15K-30K,本科,3-5年,https://jobs.zhaopin.com/CC839864870J00177422813.htm
日语Java/Python开发工程师-初级,Uniqsys优尼卡日本株式会社,20-99人,外商独资,https://company.zhaopin.com/CZ842910190.htm,深圳,5K-10K,本科,不限,https://jobs.zhaopin.com/CC842910190J00180734404.htm
Python后台开发工程师,广州宏鸿钥环境科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ644239030.htm,深圳-宝安区,25K-30K,本科,3-5年,https://jobs.zhaopin.com/CZ644239030J00261748208.htm
Python开发,深圳德聚企业管理咨询有限公司,100-499人,民营,https://company.zhaopin.com/CZ413479080.htm,深圳,15K-30K,大专,3-5年,https://jobs.zhaopin.com/413479081250149.htm
高级python,深圳德聚企业管理咨询有限公司,100-499人,民营,https://company.zhaopin.com/CZ413479080.htm,深圳-南山区,20K-40K,本科,不限,https://jobs.zhaopin.com/413479081250103.htm
    Python运维开发中级讲师,北京千锋互联科技有限公司深圳分公司,1000-9999人,民营,https://company.zhaopin.com/CZ556809120.htm,深圳-宝安区,18K-30K,本科,3-5年,https://jobs.zhaopin.com/CC556809127J00373127101.htm
python工程师,北京嘉连勤科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ475451320.htm,深圳-南山区,8K-15K,学历不限,1-3年,https://jobs.zhaopin.com/CC475451320J00131518714.htm
PHP/Python软件工程师,深圳市蜂窝网络有限公司,20-99人,民营,https://company.zhaopin.com/CZ517946720.htm,深圳,10K-15K,本科,1-3年,https://jobs.zhaopin.com/CC517946724J00320176301.htm
急聘Python开发工程师 ,深圳神州讯盟软件有限公司,20人以下,民营,https://company.zhaopin.com/CZ248856010.htm,深圳-龙华新区,8K-10K,本科,1-3年,https://jobs.zhaopin.com/CC248856017J00292840102.htm
"日语Java,C,Python,Sap,DB软件开发工程师",Uniqsys优尼卡日本株式会社,20-99人,外商独资,https://company.zhaopin.com/CZ842910190.htm,深圳,20K-30K,本科,不限,https://jobs.zhaopin.com/CC842910190J00173666004.htm
python高级工程师,深圳市美铁科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ711331820.htm,深圳,15K-20K,本科,1-3年,https://jobs.zhaopin.com/CC711331825J00332456307.htm
Python开发,前海泰坦科技（深圳）有限公司,20-99人,民营,https://company.zhaopin.com/CZ739677640.htm,深圳-福田区,10K-15K,本科,3-5年,https://jobs.zhaopin.com/CZ739677640J00416464201.htm
python中级开发工程师,深圳新河通创科技有限公司,500-999人,其它,https://company.zhaopin.com/CZ897911160.htm,深圳-福田区,10K-15K,大专,3-5年,https://jobs.zhaopin.com/CZ897911160J00205978405.htm
python web工程师,深圳市南伽科技信息有限公司,100-499人,民营,https://company.zhaopin.com/CZ616068220.htm,深圳,8K-16K,本科,1-3年,https://jobs.zhaopin.com/616068226250060.htm
python高级开发工程师,深圳市南伽科技信息有限公司,100-499人,民营,https://company.zhaopin.com/CZ616068220.htm,深圳,9K-15K,本科,3-5年,https://jobs.zhaopin.com/CC616068226J00057649707.htm
python工程师,杭州同帆科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ512025020.htm,深圳-南山区,10K-15K,本科,1-3年,https://jobs.zhaopin.com/CC512025027J00287262707.htm
python初级开发工程师,深圳市神州动力数码有限公司,100-499人,民营,https://company.zhaopin.com/CZ145341820.htm,深圳,4K-8K,大专,不限,https://jobs.zhaopin.com/CC145341829J00267045107.htm
协议分析师（python爬虫方向）,尼尔林技术咨询(深圳)有限公司,20-99人,外商独资,https://company.zhaopin.com/CZ328908510.htm,深圳-南山区,15K-25K,本科,不限,https://jobs.zhaopin.com/CC328908511J00229100104.htm
python开发,深圳市南伽科技信息有限公司,100-499人,民营,https://company.zhaopin.com/CZ616068220.htm,深圳,7K-14K,本科,1-3年,https://jobs.zhaopin.com/CC616068226J00127137107.htm
Python工程师,深圳市南伽科技信息有限公司,100-499人,民营,https://company.zhaopin.com/CZ616068220.htm,深圳,10K-20K,学历不限,3-5年,https://jobs.zhaopin.com/616068226250044.htm
Python工程师,深圳市神经云网络科技有限公司,100-499人,外商独资,https://company.zhaopin.com/CZ578097080.htm,深圳,15K-30K,大专,1-3年,https://jobs.zhaopin.com/CC578097081J00198102905.htm
python开发工程师,深圳市瑞驰信息技术有限公司,100-499人,民营,https://company.zhaopin.com/CZ298519280.htm,深圳-南山区,10K-20K,大专,3-5年,https://jobs.zhaopin.com/298519281250039.htm
python后台开发工程师,深圳市美鸿电子有限公司,20-99人,民营,https://company.zhaopin.com/CZ718489740.htm,深圳,16K-22K,本科,3-5年,https://jobs.zhaopin.com/CZ718489740J00373815407.htm
python数据分析,深圳市美鸿电子有限公司,20-99人,民营,https://company.zhaopin.com/CZ718489740.htm,深圳,15K-20K,本科,3-5年,https://jobs.zhaopin.com/CZ718489740J00373817807.htm
服务器软件开发工程师（Python方向）,深圳市数联信息科技有限公司,20-99人,不限,https://company.zhaopin.com/CZ823276440.htm,深圳-南山区,15K-20K,本科,3-5年,https://jobs.zhaopin.com/CZ823276440J00393859505.htm
python开发工程师,深圳市比一比网络科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ572165720.htm,深圳,10K-20K,大专,3-5年,https://jobs.zhaopin.com/CC572165726J00394238905.htm
python工程师,深圳市比一比网络科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ572165720.htm,深圳,10K-20K,大专,3-5年,https://jobs.zhaopin.com/CC572165726J00394237005.htm
python&Flask 微信公众号软件开发兼职,深圳市薄荷阅读科技有限公司,20人以下,民营,https://company.zhaopin.com/CZ632943280.htm,深圳,4K-6K,学历不限,不限,https://jobs.zhaopin.com/CZ632943280J00174588601.htm
python量化开发工程师,深圳矩心科技有限公司,20人以下,股份制企业,https://company.zhaopin.com/CZ874879190.htm,深圳,8K-13K,大专,3-5年,https://jobs.zhaopin.com/CC874879190J00280523208.htm
视觉及深度学习算法工程师,深圳飞科机器人有限公司,20-99人,不限,https://company.zhaopin.com/CZ701390880.htm,深圳,15K-25K,本科,3-5年,https://jobs.zhaopin.com/CZ701390880J00421223601.htm
乐高研发老师,深圳百智教育科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ841629950.htm,深圳,8K-15K,大专,1-3年,https://jobs.zhaopin.com/CC841629950J00283614304.htm
数据库管理处数据库管理员(J10017),富德保险控股股份有限公司,10000人以上,股份制企业,https://company.zhaopin.com/CZ298522580.htm,深圳,8K-15K,本科,不限,https://jobs.zhaopin.com/CC298522587J00276619903.htm
软件测试岗,富德保险控股股份有限公司,10000人以上,股份制企业,https://company.zhaopin.com/CZ298522580.htm,深圳,10K-15K,本科,3-5年,https://jobs.zhaopin.com/298522587250081.htm
工程师助理 视频录制剪辑 文档工程师,深圳市微雪电子有限公司,20-99人,民营,http://special.zhaopin.com/2018/shz/11test/szsw090518,深圳,5K-8K,大专,不限,https://jobs.zhaopin.com/CC401347719J00266136404.htm
运维工程师,北京魅动力教育咨询有限公司,100-499人,民营,https://company.zhaopin.com/CZ487000820.htm,深圳-南山区,12K-20K,本科,3-5年,https://jobs.zhaopin.com/CC487000829J00172325513.htm
大数据应用部资深数据应用研发岗,富德保险控股股份有限公司,10000人以上,股份制企业,https://company.zhaopin.com/CZ298522580.htm,深圳,9K-18K,本科,3-5年,https://jobs.zhaopin.com/298522587250124.htm
数据分析专员,深圳市赛益莱特科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ814100400.htm,深圳-南山区,5K-8K,大专,不限,https://jobs.zhaopin.com/CC814100400J00201589901.htm
服务器管理员岗,富德保险控股股份有限公司,10000人以上,股份制企业,https://company.zhaopin.com/CZ298522580.htm,深圳,9K-15K,本科,3-5年,https://jobs.zhaopin.com/CC298522587J00300066803.htm
软件测试工程师（招商金科）,深圳市博悦科创科技有限公司,500-999人,民营,https://company.zhaopin.com/CZ435485810.htm,深圳-福田区,10K-15K,本科,1-3年,https://jobs.zhaopin.com/CC435485814J00249600106.htm
RD2-测试工程师,深圳银澎云计算有限公司,500-999人,股份制企业,https://company.zhaopin.com/CZ609532620.htm,深圳,10K-15K,本科,3-5年,https://jobs.zhaopin.com/CC609532620J00242978907.htm
RD2-测试工程师(服务器),深圳银澎云计算有限公司,500-999人,股份制企业,https://company.zhaopin.com/CZ609532620.htm,深圳,10K-15K,本科,3-5年,https://jobs.zhaopin.com/CC609532620J00246531807.htm
c++开发工程师,深圳市新类型科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ826945830.htm,深圳,15K-30K,本科,5-10年,https://jobs.zhaopin.com/CZ826945830J00295046108.htm
测试工程师中级,小欧科技(珠海市)有限责任公司,20-99人,民营,https://company.zhaopin.com/CZ880922430.htm,深圳,10K-15K,大专,3-5年,https://jobs.zhaopin.com/CC880922430J00391273205.htm
RD3-测试工程师（音视频测试）,深圳银澎云计算有限公司,500-999人,股份制企业,https://company.zhaopin.com/CZ609532620.htm,深圳,10K-18K,本科,3-5年,https://jobs.zhaopin.com/CC609532620J00356739707.htm
网络及安全工程师,恒大人寿保险有限公司,1000-9999人,合资,https://company.zhaopin.com/CZ121064920.htm,深圳-南山区,15K-20K,本科,3-5年,https://jobs.zhaopin.com/CC121064921J00381589505.htm
devops工程师,深圳市新类型科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ826945830.htm,深圳,15K-30K,本科,5-10年,https://jobs.zhaopin.com/CZ826945830J00295050808.htm
测试工程师,北京魅动力教育咨询有限公司,100-499人,民营,https://company.zhaopin.com/CZ487000820.htm,深圳-南山区,12K-18K,本科,3-5年,https://jobs.zhaopin.com/CC487000829J00172326313.htm
软件测试工程师,深圳睿世达信息科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ483573220.htm,深圳-福田区,8K-10K,大专,3-5年,https://jobs.zhaopin.com/483573223250154.htm
java高级开发工程师,春禾(深圳)自动化技术有限公司,100-499人,民营,https://company.zhaopin.com/CZ548753130.htm,深圳-光明新区,10K-20K,本科,1-3年,https://jobs.zhaopin.com/CZ548753130J00216868602.htm
算法研究生（计算机视觉方向）,深圳市方直科技股份有限公司,100-499人,民营,https://company.zhaopin.com/CZ143270300.htm,深圳-南山区,15K-22K,硕士,不限,https://jobs.zhaopin.com/CC143270306J00372626607.htm
前端/小程序开发工程师,深圳市大律科技有限公司,20-99人,民营,https://company.zhaopin.com/CZ422692680.htm,深圳,10K-15K,本科,3-5年,https://jobs.zhaopin.com/CZ422692680J00378070905.htm
算法工程师,深圳市铁越电气有限公司,100-499人,民营,https://company.zhaopin.com/CZ145536890.htm,深圳,11K-19K,本科,1-3年,https://jobs.zhaopin.com/CC145536893J00125372602.htm
运维工程师,深圳市房一族网络科技有限公司,100-499人,民营,https://company.zhaopin.com/CZ815431260.htm,深圳,13K-16K,本科,3-5年,https://jobs.zhaopin.com/CC815431260J00321222307.htm
生物信息工程师,广东美格基因科技有限公司,20-99人,其它,http://special.zhaopin.com/pagepublish/47718393/index.html,深圳-龙岗区,6K-12K,本科,不限,https://jobs.zhaopin.com/CC477183933J00293271902.htm
强化学习,真玫智能科技（深圳）有限公司,100-499人,民营,https://company.zhaopin.com/CZ330043480.htm,深圳-南山区,15K-30K,本科,3-5年,https://jobs.zhaopin.com/CC330043489J00293303305.htm
